"uniqueID","chainstree","chainstree2","chainstree3","chainstree4","No tree","Oak","No data","Water","Hickory","Cherry","Elm","Walnut","Maple","Ash","Poplar","NA","Unknown tree","Ironwood","Basswood","No tree_dist","Oak_dist","No data_dist","Water_dist","Hickory_dist","Cherry_dist","Elm_dist","Walnut_dist","Maple_dist","Ash_dist","Poplar_dist","NA_dist","Unknown tree_dist","Ironwood_dist","Basswood_dist"
12,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,400,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,146,133,NA,NA,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,"139.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,92,83,"13","95",0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"70.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,0,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,55,121,NA,NA,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,463,533,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,78,90,"101",NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"89.6666666666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,118,136,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"127",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,0,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,0,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,0,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,108,103,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"105.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,46,5,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"25.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,26,36,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,58,32,NA,NA,0,1,0,0,1,0,0,0,0,0,0,NA,0,0,0,NA,"58",NA,NA,"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,212,375,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"293.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,43,46,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"44.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,0,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,77,32,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"54.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,28,61,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"44.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,59,87.5,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"73.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,54,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,45,14,"42","212",0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"78.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,23,56,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"39.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,76,161,NA,NA,0,1,0,0,1,0,0,0,0,0,0,NA,0,0,0,NA,"76",NA,NA,"161",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92,100,160,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,9,52,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"30.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,73,38,"59","53",0,1,0,0,0,0,0,0,0,0,0,NA,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA,NA
99,75,132,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"103.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,8,187,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"97.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,29,19,"90","18",0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,0,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,57,28,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"42.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,10,51,"65",NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"42",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,100,144,"110","112",0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"116.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,86,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,19,63,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"41",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,39,178,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"108.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,8,26,"32","56",0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"30.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,103,25,NA,NA,0,1,0,0,1,0,0,0,0,0,0,NA,0,0,0,NA,"103",NA,NA,"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,44,46,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,66,180,NA,NA,0,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,"123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,78,86,"144","255",0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"140.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,8,54,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,65,54,NA,NA,0,1,0,0,1,0,0,0,0,0,0,NA,0,0,0,NA,"65",NA,NA,"54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,167,85,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"126",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,66,105,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"85.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,25,65,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,144,102,"167","137",0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"137.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,0,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,41,64,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"52.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,342,368,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"355",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,28,59,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"43.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,46,57,"51","180",0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"83.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,70,106,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
